Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;80329;b1;1;1;BRASILIA;DF;03/2021;22.963.976;550.157.821;252.288.970;610.705.814;-41.846.062;568.859.752;0;0;0;0;0;217.911.741;74.170.883;59.284.658;1.745.637.801;0;1.745.637.801
CAIXA ECONOMICA FEDERAL;360305;;;80738;b1;1;6;BRASILIA;DF;03/2021;16.489.736;163.782.218;270.831.441;790.410.290;-34.822.352;755.587.938;0;0;0;0;0;93.804.254;114.846.765;19.764.812;1.435.107.163;0;1.435.107.163
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;03/2021;29.398.642;190.140.915;352.977.451;381.229.716;-36.495.418;344.734.298;1;111;97;-15;194;205.094.012;94.382.049;167.273.941;1.384.001.502;97;1.384.001.405
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;03/2021;12.457.439;287.155.239;381.265.216;314.621.831;-22.201.999;292.419.832;43;64;184;0;291;136.202.939;108.247.216;133.182.110;1.350.930.282;184;1.350.930.098
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;03/2021;6.634.866;141.672.135;223.578.749;236.287.115;-20.488.366;215.798.749;0;21.555;21.555;0;43.111;175.149.745;81.843.023;95.718.971;940.439.348;21.555;940.417.793
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;81847;b4;1;4;RIO DE JANEIRO;RJ;03/2021;127.547;79.918.716;117.858.588;274.607.610;-17.991.943;256.615.667;0;0;0;0;0;24.151.150;178.629.149;117.125.425;774.426.243;0;774.426.243
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;03/2021;288.089;47.859.248;109.208.392;31.961.902;-914.018;31.047.883;0;0;0;0;0;49.718.555;6.392.687;21.208.682;265.723.537;0;265.723.537
BANCO SAFRA S.A.;58160789;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;03/2021;414.895;29.613.465;81.623.128;57.833.958;-2.213.316;55.620.642;0;0;0;0;0;13.777.326;18.551.921;12.361.918;211.963.295;0;211.963.295
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;03/2021;1;2.233.264;356.240;0;0;0;0;0;0;0;0;8.562.466;44.714;140.303.071;151.499.757;0;151.499.757
BANCO ITAUCARD S.A.;17192451;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;03/2021;731.100;6.579.781;12.309.607;42.342.720;-9.638.483;32.704.237;14.771;250.119;167.929;-814;432.005;60.388.510;444.739;9.676.663;123.266.641;167.929;123.098.712
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM;51011;80484;b1;2;8;SAO PAULO;SP;03/2021;68.978;11.634.064;36.914.528;52.406.987;-3.365.395;49.041.592;0;0;0;0;0;13.180.763;1.224.168;5.895.844;117.959.936;0;117.959.936
BANCO J.P. MORGAN S.A.;33172537;JP MORGAN CHASE;20107;80116;b1;3;8;SAO PAULO;SP;03/2021;20.843;44.251.421;40.855.856;2.537.859;-152.778;2.385.081;0;0;0;0;0;28.393.746;7.025;1.684.885;117.598.857;0;117.598.857
BANCO CITIBANK S.A.;33479023;CITIBANK;30403;80192;b1;3;8;SAO PAULO;SP;03/2021;4.434.016;12.123.948;37.483.661;13.731.285;-160.582;13.570.703;-181;66.194;17.623;-460;83.175;37.121.900;5.132.665;528.215;110.478.282;17.623;110.460.659
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL;30173;80154;b1;1;8;PORTO ALEGRE;RS;03/2021;1.179.313;8.324.535;34.248.375;34.307.966;-2.543.413;31.764.553;43;46.674;29.132;-6.029;69.820;7.150.565;9.219.876;3.715.121;95.672.158;29.132;95.643.026
BANCO CRÉDIT AGRICOLE BRASIL S.A.;75647891;CREDIT AGRICOLE;51066;80491;b1;3;8;SAO PAULO;SP;03/2021;8.480;7.694.082;3.948.640;2.455.789;-49.979;2.405.810;0;0;0;0;0;73.222.025;3.489;21.164;87.303.690;0;87.303.690
CIELO S.A.;1027058;;;84710;n4;2;41;BARUERI;SP;03/2021;33.162;1.002;7.169.607;0;0;0;0;0;0;0;0;3.088.946;62.445.160;9.097.929;81.835.807;0;81.835.807
BANCO COOPERATIVO SICREDI S.A.;1181521;;;80745;b1;2;11;PORTO ALEGRE;RS;03/2021;534.164;2.810.593;25.653.394;14.863.866;-9.495;14.854.371;0;0;0;0;0;4.097.641;30.642.817;181.774;78.774.753;0;78.774.753
BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB;2038232;BANCOOB;51750;80879;b1;2;11;BRASILIA;DF;03/2021;40.628;24.472.195;19.508.942;7.213.255;-121.455;7.091.800;0;0;0;0;0;6.415.901;19.213.738;339.747;77.082.951;0;77.082.951
BANCO BNP PARIBAS BRASIL S.A.;1522368;BNP PARIBAS;51516;80673;b1;3;8;SAO PAULO;SP;03/2021;360.619;11.883.451;24.656.279;3.760.583;-13.316;3.747.267;0;0;0;0;0;29.498.076;18.625;78.196;70.242.512;0;70.242.512
BANCO DO NORDESTE DO BRASIL S.A.;7237373;;;81593;b1;1;8;FORTALEZA;CE;03/2021;149.814;4.573.196;38.599.442;12.717.078;-648.242;12.068.836;0;0;0;0;0;5.209.890;963.706;239.676;61.804.561;0;61.804.561
REDECARD S.A.;1425787;;;80099;n4;2;41;SAO PAULO;SP;03/2021;506.847;1.721.603;412.237;0;0;0;0;0;0;0;0;791.029;55.532.941;1.374.453;60.339.111;0;60.339.111
