Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BANCO BNP PARIBAS BRASIL S.A.;1522368;BNP PARIBAS;51516;80673;b1;3;8;SAO PAULO;SP;03/2020;132.539;8.237.527;17.218.316;4.955.516;-19.025;4.936.491;0;0;0;0;0;32.972.515;13.958;54.834;63.566.180;0;63.566.180
BANCO DO NORDESTE DO BRASIL S.A.;7237373;;;81593;b1;1;8;FORTALEZA;CE;03/2020;168.291;3.528.432;40.010.109;9.800.211;-539.769;9.260.442;0;0;0;0;0;5.247.836;668.124;238.230;59.121.464;0;59.121.464
BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;2038232;BANCOOB;51750;80879;b1;2;11;BRASILIA;DF;03/2020;37.158;16.058.326;16.613.002;5.559.694;-99.765;5.459.929;0;0;0;0;0;4.543.644;13.781.443;246.708;56.740.211;0;56.740.211
ING BANK N.V.;49336860;ING;51073;80501;b1;3;28;SAO PAULO;SP;03/2020;56.757;5.632.828;3.582.034;861.552;-5.944;855.608;0;0;0;0;0;43.071.835;1.550;8.350;53.208.963;0;53.208.963
BANCO BRADESCO FINANCIAMENTOS S.A.;7207996;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;03/2020;224;6.847.543;102.826;36.310.896;-864.830;35.446.066;500;269.644;98.495;-2.181;366.458;6.694.666;135.548;2.214.897;51.808.228;98.495;51.709.733
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;;;81555;b1;3;8;SAO PAULO;SP;03/2020;249.849;3.085.465;8.466.683;24.159.406;-1.103.195;23.056.211;0;0;0;0;0;14.919.261;49.237;25.542;49.852.247;0;49.852.247
AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER;30379;80185;n1;3;14;SAO PAULO;SP;03/2020;18.719;1.098.936;257.139;42.605.687;-1.671.158;40.934.528;0;0;0;0;0;5.531.720;18.719;318.845;48.178.606;0;48.178.606
BV FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1149953;VOTORANTIM;51011;80484;n1;2;14;SAO PAULO;SP;03/2020;16.862;0;1.098.161;43.190.995;-3.326.212;39.864.783;0;0;0;0;0;5.130.531;110.404;125.769;46.346.510;0;46.346.510
BANCO ABC BRASIL S.A.;28195667;ABC-BRASIL;41856;80312;b1;3;8;SAO PAULO;SP;03/2020;269.197;5.703.382;12.756.575;12.146.890;-231.526;11.915.364;0;0;0;0;0;10.808.321;398.524;2.641.541;44.492.903;0;44.492.903
XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;2332886;XP;52120;82475;n2;2;15;RIO DE JANEIRO;RJ;03/2020;5.017;22.446.432;14.265.312;0;0;0;0;0;0;0;0;1.323.752;92.608;625.219;38.758.340;0;38.758.340
